timestamp,open,high,low,close,volume,hour,day_of_week,month,session_id
2025-09-25 09:00:00+00:00,3757.221,3757.649,3741.067,3753.056,14203.0,11,3,9,1
2025-09-25 10:00:00+00:00,3753.018,3755.93,3730.542,3738.812,25479.0,12,3,9,1
2025-09-25 11:00:00+00:00,3738.833,3745.529,3721.941,3733.715,33862.0,13,3,9,2
2025-09-25 12:00:00+00:00,3733.768,3736.413,3723.567,3731.467,22997.0,14,3,9,2
2025-09-25 13:00:00+00:00,3731.507,3738.799,3727.916,3735.828,14719.0,15,3,9,3
2025-09-25 14:00:00+00:00,3735.893,3742.762,3732.664,3733.718,10434.0,16,3,9,3
2025-09-25 15:00:00+00:00,3733.69,3744.185,3732.366,3741.826,12267.0,17,3,9,0
2025-09-25 16:00:00+00:00,3741.864,3758.296,3736.518,3755.19,12336.0,18,3,9,0
2025-09-25 17:00:00+00:00,3755.165,3756.75,3744.613,3746.523,10540.0,19,3,9,0
2025-09-25 18:00:00+00:00,3746.56,3752.524,3745.975,3749.696,4677.0,20,3,9,0
2025-09-25 20:00:00+00:00,3748.251,3751.594,3746.303,3748.845,4775.0,22,3,9,0
2025-09-25 21:00:00+00:00,3748.831,3749.94,3738.051,3744.717,8527.0,23,3,9,0
2025-09-25 22:00:00+00:00,3744.676,3749.597,3740.215,3749.569,10974.0,0,4,9,0
2025-09-25 23:00:00+00:00,3749.639,3753.317,3737.693,3738.969,14157.0,1,4,9,0
2025-09-26 00:00:00+00:00,3738.998,3742.896,3737.603,3738.419,8233.0,2,4,9,0
2025-09-26 01:00:00+00:00,3738.455,3746.092,3734.464,3745.435,6855.0,3,4,9,0
2025-09-26 02:00:00+00:00,3745.474,3747.768,3744.648,3747.724,5120.0,4,4,9,0
2025-09-26 03:00:00+00:00,3747.609,3749.612,3741.865,3742.11,6039.0,5,4,9,0
2025-09-26 04:00:00+00:00,3742.061,3754.165,3741.468,3743.66,12734.0,6,4,9,0
2025-09-26 05:00:00+00:00,3743.608,3749.56,3739.181,3747.971,10397.0,7,4,9,0
2025-09-26 06:00:00+00:00,3747.991,3755.206,3747.025,3752.951,8029.0,8,4,9,0
2025-09-26 07:00:00+00:00,3752.914,3754.455,3747.237,3751.509,6901.0,9,4,9,0
2025-09-26 08:00:00+00:00,3751.527,3755.015,3742.903,3744.65,7383.0,10,4,9,1
2025-09-26 09:00:00+00:00,3744.646,3752.898,3744.416,3748.706,7591.0,11,4,9,1
2025-09-26 10:00:00+00:00,3748.662,3757.451,3746.602,3752.048,15809.0,12,4,9,1
2025-09-26 11:00:00+00:00,3752.092,3766.361,3751.238,3761.906,27220.0,13,4,9,2
2025-09-26 12:00:00+00:00,3761.846,3783.826,3761.571,3778.894,25314.0,14,4,9,2
2025-09-26 13:00:00+00:00,3778.835,3780.965,3772.95,3780.373,13774.0,15,4,9,3
