date,exit_date,side,entry,sl,tp,exit,outcome,lot,pnl,equity,pattern,tp_mode,zone_tf,zone_kind,zone_top,zone_bottom,zone_score
2024-05-20 00:15:00,2024-05-21 03:15:00,buy,2421.61,2406.96,2450.83,2406.96,-1,0.01,-14.65,213.88,engulfing,fallback,1H,support,2417.91,2409.37,3.0
2024-05-29 09:30:00,2024-05-29 12:45:00,buy,2344.22,2337.89,2354.96,2337.89,-1,0.01,-6.33,207.55,morning_star,zone,1H,support,2343.97,2340.23,5.0
2024-07-05 12:30:00,2024-07-08 15:45:00,buy,2372.88,2351.86,2442.2,2351.86,-1,0.01,-21.02,186.54,pin_bar,zone,1H,support,2357.03,2354.21,5.0
2024-07-10 06:15:00,2024-07-11 12:30:00,buy,2369.6,2365.25,2388.83,2388.83,1,0.01,19.24,205.77,engulfing,zone,1H,support,2368.78,2367.62,3.0
2024-07-19 13:30:00,2024-07-22 12:30:00,buy,2403.75,2388.97,2429.33,2388.97,-1,0.01,-14.78,190.99,engulfing,zone,1H,support,2397.86,2391.36,4.0
2024-08-08 01:00:00,2024-08-08 10:30:00,buy,2388.52,2379.02,2403.85,2403.85,1,0.01,15.33,206.32,engulfing,zone,1H,support,2387.54,2381.4,6.0
2024-08-20 15:15:00,2024-08-21 13:30:00,buy,2509.43,2500.54,2527.34,2500.54,-1,0.01,-8.88,197.44,pin_bar,fallback,1H,support,2507.18,2503.04,3.0
2024-08-22 14:15:00,2024-08-22 14:30:00,buy,2477.82,2473.1,2500.83,2473.1,-1,0.01,-4.71,192.72,pin_bar,zone,1H,support,2476.96,2475.58,3.0
2024-08-22 15:30:00,2024-08-23 09:15:00,buy,2480.74,2470.41,2500.83,2500.83,1,0.01,20.09,212.81,morning_star,zone,1H,support,2475.66,2472.88,4.0
2024-08-27 23:30:00,2024-08-28 05:00:00,sell,2525.18,2529.54,2509.88,2509.88,1,0.01,15.3,228.11,evening_star,zone,1H,resistance,2527.01,2526.47,4.0
2024-09-03 08:30:00,2024-09-03 10:30:00,sell,2505.01,2509.84,2493.7,2493.7,1,0.01,11.31,239.43,pin_bar,zone,1H,resistance,2507.33,2506.24,4.0
2024-09-04 20:45:00,2024-09-05 06:00:00,sell,2495.24,2502.83,2483.71,2502.83,-1,0.01,-7.59,231.83,pin_bar,zone,1H,resistance,2500.33,2496.23,5.0
2024-09-05 06:30:00,2024-09-05 08:15:00,sell,2503.14,2511.67,2483.71,2511.67,-1,0.01,-8.52,223.31,engulfing,zone,1H,resistance,2509.16,2503.56,12.0
2024-09-26 13:45:00,2024-09-27 15:00:00,buy,2660.92,2648.67,2685.26,2648.67,-1,0.01,-12.25,211.06,pin_bar,fallback,1H,support,2654.78,2651.32,9.0
2024-10-09 18:15:00,2024-10-10 02:45:00,sell,2607.94,2614.24,2592.61,2614.24,-1,0.01,-6.3,204.76,evening_star,zone,1H,resistance,2611.63,2609.14,3.0
2024-10-23 22:45:00,2024-10-24 08:45:00,buy,2718.05,2705.9,2737.82,2737.82,1,0.01,19.77,224.53,engulfing,zone,1H,support,2717.83,2708.6,3.0
2024-11-17 23:45:00,2024-11-18 01:00:00,sell,2571.42,2578.65,2559.95,2578.65,-1,0.01,-7.23,217.3,evening_star,zone,1H,resistance,2576.07,2572.83,4.0
2024-12-17 05:00:00,2024-12-17 08:45:00,buy,2651.22,2644.07,2663.58,2644.07,-1,0.01,-7.15,210.15,pin_bar,zone,1H,support,2650.63,2646.72,8.0
2024-12-18 20:15:00,2024-12-19 01:30:00,sell,2595.99,2613.07,2562.99,2613.07,-1,0.01,-17.08,193.08,engulfing,zone,1H,resistance,2610.45,2605.13,3.0
2024-12-20 16:00:00,2024-12-26 15:00:00,sell,2627.37,2633.62,2588.45,2633.62,-1,0.01,-6.25,186.82,engulfing,zone,1H,resistance,2630.99,2627.53,3.0
2025-01-15 21:45:00,2025-01-16 06:00:00,buy,2695.14,2691.07,2708.6,2691.07,-1,0.01,-4.08,182.75,morning_star,zone,1H,support,2696.06,2693.76,3.0
2025-01-24 01:45:00,2025-01-27 02:15:00,buy,2762.27,2754.91,2787.28,2754.91,-1,0.01,-7.37,175.38,engulfing,zone,1H,support,2758.96,2757.66,3.0
2025-02-03 16:00:00,2025-02-05 00:30:00,buy,2819.69,2806.41,2846.09,2846.09,1,0.01,26.4,201.78,morning_star,fallback,4H,support,2817.24,2809.22,4.0
2025-02-05 20:45:00,2025-02-06 07:45:00,buy,2862.56,2855.74,2880.22,2855.74,-1,0.01,-6.82,194.96,pin_bar,zone,1H,support,2861.65,2858.6,4.0
2025-02-10 07:00:00,2025-02-10 15:30:00,buy,2888.95,2877.42,2912.04,2912.04,1,0.01,23.09,218.05,pin_bar,fallback,1H,support,2886.75,2880.3,3.0
2025-02-11 13:15:00,2025-02-12 13:00:00,buy,2889.92,2877.34,2915.01,2877.34,-1,0.01,-12.58,205.47,engulfing,fallback,1H,support,2882.43,2880.22,3.0
2025-02-13 03:00:00,2025-02-13 05:00:00,buy,2908.7,2901.93,2919.72,2919.72,1,0.01,11.02,216.49,pin_bar,zone,1H,support,2908.68,2904.83,3.0
2025-03-05 09:15:00,2025-03-05 13:30:00,sell,2916.44,2923.45,2904.27,2904.27,1,0.01,12.17,228.66,evening_star,zone,1H,resistance,2920.53,2917.2,4.0
2025-03-05 15:30:00,2025-03-06 09:45:00,sell,2919.74,2933.07,2895.27,2895.27,1,0.01,24.47,253.14,pin_bar,zone,1H,resistance,2930.14,2923.45,4.0
2025-03-18 02:00:00,2025-03-18 08:30:00,buy,3005.98,2995.76,3026.44,3026.44,1,0.01,20.46,273.6,pin_bar,fallback,1H,support,3004.88,2998.76,3.0
2025-03-21 05:45:00,2025-03-21 13:30:00,buy,3028.09,3019.72,3052.48,3019.72,-1,0.01,-8.36,265.24,engulfing,zone,1H,support,3025.13,3022.74,3.0
2025-04-01 06:00:00,2025-04-01 15:45:00,buy,3130.84,3116.13,3160.24,3116.13,-1,0.01,-14.71,250.53,pin_bar,fallback,1H,support,3128.16,3119.25,3.0
2025-04-03 00:45:00,2025-04-03 04:45:00,buy,3151.34,3141.52,3170.92,3141.52,-1,0.01,-9.82,240.7,engulfing,fallback,1H,support,3149.06,3144.66,3.0
2025-04-08 07:00:00,2025-04-08 13:15:00,sell,3012.21,3021.59,2970.05,3021.59,-1,0.01,-9.38,231.32,evening_star,zone,1H,resistance,3018.57,3013.2,3.0
2025-04-17 08:45:00,2025-04-17 13:45:00,buy,3324.23,3317.48,3351.03,3317.48,-1,0.01,-6.75,224.57,morning_star,zone,1H,support,3323.91,3320.8,4.0
2025-05-02 08:00:00,2025-05-05 08:45:00,sell,3256.54,3280.74,3205.47,3280.74,-1,0.01,-24.2,200.37,evening_star,zone,1H,resistance,3277.46,3260.04,5.0
2025-05-07 19:15:00,2025-05-07 20:15:00,buy,3373.2,3365.82,3392.42,3365.82,-1,0.01,-7.38,193.0,pin_bar,zone,1H,support,3369.94,3369.19,3.0
