date,exit_date,side,entry,sl,tp,exit,outcome,lot,pnl,equity,pattern,tp_mode,zone_tf,zone_kind,zone_top,zone_bottom,zone_score
2024-10-11 12:30:00,2024-10-11 13:15:00,sell,2642.49,2649.85,2622.46,2649.85,-1,0.01,-7.36,100.11,evening_star,zone,1H,resistance,2647.2,2644.72,4.0
2024-10-23 13:15:00,2024-10-23 14:00:00,buy,2739.32,2726.71,2764.44,2726.71,-1,0.01,-12.62,87.5,pin_bar,fallback,1H,support,2731.98,2729.44,3.0
2024-10-25 15:30:00,2024-10-25 20:30:00,sell,2738.09,2745.95,2721.73,2745.95,-1,0.01,-7.87,79.63,engulfing,zone,1H,resistance,2743.21,2739.14,3.0
2024-10-31 14:00:00,2024-10-31 14:30:00,buy,2752.61,2743.44,2787.05,2743.44,-1,0.01,-9.17,70.46,pin_bar,zone,1H,support,2749.86,2746.19,3.0
2024-11-01 19:00:00,2024-11-05 02:30:00,buy,2736.54,2728.78,2754.96,2728.78,-1,0.01,-7.76,62.7,pin_bar,zone,1H,support,2734.75,2731.51,3.0
2024-11-12 12:30:00,2024-11-12 13:00:00,sell,2602.24,2609.02,2549.03,2609.02,-1,0.01,-6.79,55.92,pin_bar,zone,1H,resistance,2606.42,2605.12,3.0
2024-11-17 23:45:00,2024-11-18 01:00:00,sell,2571.42,2578.65,2559.95,2578.65,-1,0.01,-7.23,48.69,evening_star,zone,1H,resistance,2576.07,2572.83,3.0
2024-11-18 08:15:00,2024-11-18 13:30:00,sell,2587.22,2600.44,2562.99,2600.44,-1,0.01,-13.23,35.46,pin_bar,zone,4H,resistance,2597.84,2589.66,4.0
2024-11-19 00:30:00,2024-11-19 01:15:00,sell,2612.04,2617.7,2562.99,2617.7,-1,0.01,-5.66,29.8,pin_bar,zone,1H,resistance,2615.09,2612.97,3.0
2024-12-19 04:00:00,2024-12-19 07:15:00,sell,2608.2,2616.65,2562.99,2616.65,-1,0.01,-8.45,21.36,engulfing,zone,1H,resistance,2614.04,2610.83,3.0
2024-12-31 13:15:00,2025-01-02 01:15:00,buy,2613.78,2606.37,2632.97,2632.97,1,0.01,19.19,40.55,engulfing,zone,1H,support,2611.61,2608.97,3.0
2025-02-03 16:00:00,2025-02-04 07:15:00,buy,2819.69,2809.56,2839.8,2809.56,-1,0.01,-10.13,30.41,morning_star,fallback,1H,support,2817.24,2812.37,3.0
2025-02-05 20:45:00,2025-02-06 07:45:00,buy,2862.56,2855.74,2876.32,2855.74,-1,0.01,-6.82,23.59,pin_bar,fallback,1H,support,2861.65,2858.6,3.0
2025-02-14 20:15:00,2025-02-18 13:30:00,buy,2882.2,2861.24,2919.72,2919.72,1,0.01,37.51,61.11,morning_star,zone,4H,support,2879.81,2864.1,4.0
2025-03-05 15:30:00,2025-03-06 09:45:00,sell,2919.74,2933.07,2895.27,2895.27,1,0.01,24.47,85.58,pin_bar,zone,1H,resistance,2930.14,2923.45,3.0
2025-03-10 17:15:00,2025-03-10 17:30:00,buy,2894.98,2888.27,2911.28,2888.27,-1,0.01,-6.71,78.87,pin_bar,zone,1H,support,2894.34,2891.16,3.0
2025-03-18 01:00:00,2025-03-18 02:45:00,buy,3001.31,2995.96,3012.04,3012.04,1,0.01,10.73,89.61,pin_bar,fallback,1H,support,3001.22,2998.96,3.0
2025-03-19 07:15:00,2025-03-19 08:30:00,buy,3040.25,3031.3,3057.85,3031.3,-1,0.01,-8.95,80.65,pin_bar,fallback,1H,support,3038.33,3034.33,3.0
2025-03-28 14:30:00,2025-03-30 22:00:00,buy,3074.07,3063.09,3095.93,3095.93,1,0.01,21.86,102.51,pin_bar,fallback,1H,support,3072.94,3066.15,5.0
2025-04-01 06:00:00,2025-04-01 15:30:00,buy,3130.84,3120.04,3152.4,3120.04,-1,0.01,-10.79,91.72,pin_bar,fallback,1H,support,3127.24,3123.17,3.0
2025-04-07 18:15:00,2025-04-07 19:30:00,sell,2969.72,2981.96,2935.25,2981.96,-1,0.01,-12.24,79.48,pin_bar,zone,1H,resistance,2978.98,2970.69,3.0
2025-04-08 11:15:00,2025-04-08 13:15:00,sell,3010.59,3021.59,2970.05,3021.59,-1,0.01,-10.99,68.49,pin_bar,zone,1H,resistance,3018.57,3013.2,3.0
2025-04-17 08:45:00,2025-04-17 13:45:00,buy,3324.23,3317.48,3351.03,3317.48,-1,0.01,-6.75,61.73,morning_star,zone,1H,support,3323.91,3320.8,3.0
2025-04-27 23:00:00,2025-04-28 01:30:00,sell,3308.8,3327.03,3281.29,3281.29,1,0.01,27.51,89.25,pin_bar,zone,1H,resistance,3323.71,3314.78,3.0
2025-05-05 01:30:00,2025-05-05 09:00:00,sell,3263.88,3284.06,3224.9,3284.06,-1,0.01,-20.17,69.07,pin_bar,zone,1H,resistance,3280.78,3268.07,3.0
2025-05-14 14:00:00,2025-05-15 15:00:00,sell,3186.46,3207.83,2978.37,3207.83,-1,0.01,-21.38,47.7,evening_star,zone,1H,resistance,3204.63,3193.55,3.0
